time_5,language,tone,participant,script,sensor,sound_intensity_max,sound_intensity_min,sound_intensity_mean,sound_intensity_median,sound_intensity_std,sound_intensity_missing
60,en,bus,subject1,t2,sound_intensity,50.62837597516216,14.62397997898956,32.20817318441535,31.82414652434554,10.752306826136321,0.0
65,en,bus,subject1,t2,sound_intensity,49.900989940630765,20.60697840353612,34.29193801964425,34.96514518697745,8.548266741761294,0.0
70,en,bus,subject1,t2,sound_intensity,49.69653497769232,20.60697840353612,34.66016528285726,35.766868052009954,9.301838618697493,0.0
75,en,bus,subject1,t2,sound_intensity,48.78900776073504,19.395192526186182,33.6465956380837,33.19938439980309,9.388333949712951,0.0
80,en,bus,subject1,t2,sound_intensity,48.74875924871058,19.54242509439325,35.141577693153906,37.03033304733686,8.876408643345059,0.0
85,en,bus,subject1,t2,sound_intensity,48.73738997302386,19.242792860618817,34.08361442935415,34.83444648098535,9.306435663649031,0.0
90,en,bus,subject1,t2,sound_intensity,50.20236943910808,18.86490725172482,33.716011528056654,33.694014136966246,9.785772162820871,0.0
95,en,bus,subject1,t2,sound_intensity,50.12153621866098,16.020599913279625,30.422381860937566,29.405164849325672,9.921028070990683,0.0
100,en,bus,subject1,t2,sound_intensity,47.66858811021418,20.0,37.070048830141076,39.65953889102063,7.8344508227197425,0.0
105,en,bus,subject1,t2,sound_intensity,48.15929556976718,16.720978579357176,32.09391217237342,34.41538038702161,9.94210139272143,0.0
110,en,bus,subject1,t2,sound_intensity,49.20744048876667,16.334684555795864,33.62860658368215,34.807253789884875,9.567519461434838,0.0
115,en,bus,subject1,t2,sound_intensity,49.526907568471394,18.06179973983887,33.176464465846124,33.23252100171687,9.203404414030599,0.0
120,en,bus,subject1,t2,sound_intensity,50.18263488441298,20.934216851622352,36.741661779099786,38.963608454693166,8.754741940520788,0.0
125,en,bus,subject1,t2,sound_intensity,47.19571574314456,16.232492903979004,33.95718566033577,36.20344299754493,8.402877817701912,0.0
130,en,bus,subject1,t2,sound_intensity,47.77289044357314,16.334684555795864,33.3627670822789,34.102709642521845,9.356978136393465,0.0
135,en,bus,subject1,t2,sound_intensity,47.67252365245316,18.512583487190756,35.715665496551274,36.52052848248105,8.40942837196002,0.0
140,en,bus,subject1,t2,sound_intensity,49.93775597108715,19.444826721501688,36.23478419330023,37.87318756624548,9.413527733359516,0.0
145,en,bus,subject1,t2,sound_intensity,50.53205254329665,18.512583487190756,32.982084538781464,29.703468762300936,9.791963124512108,0.0
150,en,bus,subject1,t2,sound_intensity,49.532666640766976,19.77723605288848,35.05565259130233,37.16086853774832,9.539575597028891,0.0
155,en,bus,subject1,t2,sound_intensity,50.08327587737966,19.444826721501688,35.527116752943826,37.45777217889759,8.906867782382646,0.0
160,en,bus,subject1,t2,sound_intensity,49.014310749654186,16.901960800285135,34.01821905788687,35.491259267581114,9.315323470409412,0.0
165,en,bus,subject1,t2,sound_intensity,49.25306933577311,16.232492903979004,29.915230413747583,27.79596491257824,10.274590382939456,0.0
170,en,bus,subject1,t2,sound_intensity,47.08879599143121,15.7978359661681,32.43191891825861,32.054750367408914,10.005364417621916,0.0
175,en,bus,subject1,t2,sound_intensity,47.92552768865762,18.573324964312683,36.29029598214475,38.12846536967072,8.774259093711635,0.0
180,en,bus,subject1,t2,sound_intensity,50.32824176257929,17.24275869600789,34.984067362385105,35.56423121371285,9.526790162521204,0.0
185,en,bus,subject1,t2,sound_intensity,48.96713563019247,21.70261715394957,35.8093136354831,37.21150843749684,8.658494207704377,0.0
190,en,bus,subject1,t2,sound_intensity,49.30969396199151,21.5836249209525,36.02228217154732,37.20655356551725,7.861741959467617,0.0
195,en,bus,subject1,t2,sound_intensity,49.07588697309848,23.483048630481605,37.19122363708311,38.668778143374986,7.203063696532671,0.0
200,en,bus,subject1,t2,sound_intensity,49.21436749386211,18.45098040014257,33.46242061118243,35.02427119984433,9.310306959357787,0.0
205,en,bus,subject1,t2,sound_intensity,49.34811434459425,17.558748556724915,34.39804233026703,35.37189226243645,9.606616550425686,0.0
210,en,bus,subject1,t2,sound_intensity,48.40162574170399,16.434526764861875,33.19243121175757,33.81836799998344,9.262142386190707,0.0
215,en,bus,subject1,t2,sound_intensity,50.56088830628698,17.92391689498254,33.17752114914967,32.02488317060094,8.59608711828841,0.0
220,en,bus,subject1,t2,sound_intensity,47.18833718303862,15.910646070264994,34.86532826627302,35.61697532653994,8.60520844692425,0.0
225,en,bus,subject1,t2,sound_intensity,48.449304941138784,18.63322860120456,34.8675164942206,36.338722626583326,9.05003813981091,0.0
230,en,bus,subject1,t2,sound_intensity,46.00373831161271,16.62757831681574,33.87861315000912,35.19040038648345,8.765283630937287,0.0
235,en,bus,subject1,t2,sound_intensity,48.21310417131634,16.989700043360187,32.66414925588381,33.877456596088635,9.195085948187463,0.0
240,en,bus,subject1,t2,sound_intensity,50.79806903039572,16.901960800285135,32.970089675659,31.501421618485587,9.011891897694534,0.0
245,en,bus,subject1,t2,sound_intensity,47.2349671872317,16.720978579357176,33.78301384083823,34.20615770625765,8.977976227153652,0.0
250,en,bus,subject1,t2,sound_intensity,48.6323361235868,16.901960800285135,34.8985224533304,36.77424437701247,9.25704174503133,0.0
255,en,bus,subject1,t2,sound_intensity,47.41049121639574,18.573324964312683,33.4961748507617,33.477202170340384,8.87647046115551,0.0
260,en,bus,subject1,t2,sound_intensity,46.139157830078624,16.812412373755873,26.79049094345405,22.706772753772075,8.837880065026239,0.0
0,en,bus,subject1,t4,sound_intensity,50.63047989670462,19.637878273455552,33.73524148474278,31.83839037056421,9.997305056379382,0.0
5,en,bus,subject1,t4,sound_intensity,50.70647299144681,18.97627091290441,35.33504586927472,34.38067450453494,9.95953149565734,0.0
