time_5,language,tone,participant,script,sensor,pitch_max,pitch_min,pitch_mean,pitch_median,pitch_std,pitch_missing
90,ch,casual,subject1,t3,pitch,515.625,0.0,146.8567054310827,141.7262802187761,99.25464515005268,12.0
95,ch,casual,subject1,t3,pitch,276.9072265625,0.0,108.62710244748042,129.84874131944443,74.21571148643096,13.333333333333334
100,ch,casual,subject1,t3,pitch,674.53125,0.0,122.18043931912302,119.94568452380949,134.60591611383265,20.0
105,ch,casual,subject1,t3,pitch,977.9036458333331,0.0,184.44537194623265,133.92037804705217,190.9507026513071,25.333333333333336
110,ch,casual,subject1,t3,pitch,509.53125,0.0,113.73012589959438,113.515625,107.15176919734965,20.0
115,ch,casual,subject1,t3,pitch,1605.46875,0.0,157.17907335594995,120.62083333333337,238.75432531165748,26.666666666666668
120,ch,casual,subject1,t3,pitch,339.84375,0.0,108.67209288355492,115.11284722222224,94.18663048325554,26.666666666666668
125,ch,casual,subject1,t3,pitch,519.609375,0.0,120.28066254285355,128.177734375,108.79482586233344,24.0
130,ch,casual,subject1,t3,pitch,472.34375,0.0,127.11005018911558,114.36946614583331,106.61985608624639,28.000000000000004
135,ch,casual,subject1,t3,pitch,521.015625,0.0,100.38339100639118,125.029296875,92.71025000064883,18.666666666666668
140,ch,casual,subject1,t3,pitch,3795.0,0.0,186.5563079184026,143.671875,497.2931827508227,24.0
145,ch,casual,subject1,t3,pitch,545.15625,0.0,128.43653067763512,141.8793402777778,85.57569116753973,22.666666666666664
150,ch,casual,subject1,t3,pitch,567.5,0.0,79.14676161124962,88.91071428571428,93.68162502680183,20.0
155,ch,casual,subject1,t3,pitch,540.8098958333333,0.0,154.94656385038422,137.87630208333334,130.8385154535772,22.666666666666664
160,ch,casual,subject1,t3,pitch,370.546875,0.0,112.75836996921628,128.07291666666666,82.42715728037166,13.333333333333334
165,ch,casual,subject1,t3,pitch,226.625,0.0,112.74349454487104,120.06216995804398,72.77464308211013,22.666666666666664
170,ch,casual,subject1,t3,pitch,553.515625,0.0,129.19769295606562,114.765625,134.39046559316438,28.37837837837838
175,ch,casual,subject1,t3,pitch,643.046875,0.0,111.03701315652317,104.47436612866298,140.1975298349597,20.0
180,ch,casual,subject1,t3,pitch,529.140625,0.0,119.00870987967146,129.6050347222222,107.69505652929814,24.0
185,ch,casual,subject1,t3,pitch,500.44270833333337,0.0,138.47473690816213,141.24348958333331,93.53358227251141,17.333333333333336
190,ch,casual,subject1,t3,pitch,607.5,0.0,120.40035874542319,125.0674293154762,109.77654981695265,14.666666666666666
195,ch,casual,subject1,t3,pitch,500.4296875,0.0,87.80346513605443,102.408203125,102.43924478199084,25.333333333333336
200,ch,casual,subject1,t3,pitch,828.59375,0.0,155.24490844934735,152.4262152777778,152.51232983110344,26.666666666666668
205,ch,casual,subject1,t3,pitch,508.125,0.0,144.50568921043518,131.484375,116.78545736500648,29.333333333333332
210,ch,casual,subject1,t3,pitch,519.140625,0.0,92.6888920830327,111.69270833333331,106.3508753237271,12.0
215,ch,casual,subject1,t3,pitch,524.8251488095239,0.0,128.49908073944903,125.73567708333331,120.95684806632764,26.666666666666668
220,ch,casual,subject1,t3,pitch,530.703125,0.0,111.3389701537237,120.25465029761904,94.57316626922183,16.0
225,ch,casual,subject1,t3,pitch,610.703125,0.0,141.99496684414115,122.61848958333331,138.80542589407506,21.333333333333336
230,ch,casual,subject1,t3,pitch,496.71875,0.0,84.47556470788044,0.0,134.2950941363455,20.689655172413794
0,ch,casual,subject1,t2,pitch,328.59375,0.0,81.75033736193653,104.43143195779913,80.26677323168235,25.333333333333336
5,ch,casual,subject1,t2,pitch,393.4375,0.0,113.82793235391988,127.27264694940476,88.69849066140867,25.333333333333336
10,ch,casual,subject1,t2,pitch,508.203125,0.0,129.58176888679927,145.78125,102.35333443199944,24.0
15,ch,casual,subject1,t2,pitch,509.53125,0.0,101.72922595116263,110.46875,97.0714320207526,24.0
20,ch,casual,subject1,t2,pitch,429.375,0.0,119.35881511356033,121.52260760073261,118.54739240414112,17.333333333333336
25,ch,casual,subject1,t2,pitch,344.765625,0.0,125.09066877184902,129.24386160714286,69.62066281927775,20.0
